state,district,pincode,total_enrollments,total_demo_updates,total_bio_updates,total_updates,update_to_enrollment_ratio
Karnataka,Bangalore,560055,6.0,77.0,88.0,165.0,23.571428571428573
Karnataka,Bangalore,560056,70.0,407.0,2210.0,2617.0,36.859154929577464
Karnataka,Bangalore,560057,67.0,456.0,2059.0,2515.0,36.98529411764706
Karnataka,Bangalore,560058,83.0,1185.0,3412.0,4597.0,54.726190476190474
Karnataka,Bangalore,560059,8.0,61.0,130.0,191.0,21.22222222222222
Karnataka,Bangalore,560060,107.0,931.0,3008.0,3939.0,36.47222222222222
Karnataka,Bangalore,560061,72.0,484.0,2019.0,2503.0,34.28767123287671
Karnataka,Bangalore,560062,91.0,684.0,2186.0,2870.0,31.195652173913043
Karnataka,Bangalore,560063,10.0,78.0,139.0,217.0,19.727272727272727
Karnataka,Bangalore,560064,145.0,1231.0,3447.0,4678.0,32.04109589041096
Karnataka,Bangalore,560065,10.0,74.0,287.0,361.0,32.81818181818182
Karnataka,Bangalore,560066,43.0,418.0,1601.0,2019.0,45.88636363636363
Karnataka,Bangalore,560067,67.0,484.0,1454.0,1938.0,28.5
Karnataka,Bangalore,560068,215.0,1438.0,5635.0,7073.0,32.745370370370374
Karnataka,Bangalore,560069,13.0,96.0,330.0,426.0,30.428571428571427
Karnataka,Bangalore,560070,64.0,367.0,2337.0,2704.0,41.6
Karnataka,Bangalore,560071,7.0,80.0,197.0,277.0,34.625
Karnataka,Bangalore,560072,84.0,714.0,2681.0,3395.0,39.94117647058823
Karnataka,Bangalore,560073,87.0,956.0,2285.0,3241.0,36.82954545454545
Karnataka,Bangalore,560075,35.0,207.0,1542.0,1749.0,48.583333333333336
Karnataka,Bangalore,560076,80.0,1472.0,3369.0,4841.0,59.76543209876543
Karnataka,Bangalore,560077,109.0,632.0,2632.0,3264.0,29.672727272727272
Karnataka,Bangalore,560078,171.0,1316.0,4156.0,5472.0,31.813953488372093
Karnataka,Bangalore,560079,134.0,1431.0,5416.0,6847.0,50.71851851851852
Karnataka,Bangalore,560080,2.0,20.0,42.0,62.0,20.666666666666668
Karnataka,Bangalore,560082,56.0,362.0,768.0,1130.0,19.82456140350877
Karnataka,Bangalore,560083,83.0,942.0,1793.0,2735.0,32.55952380952381
Karnataka,Bangalore,560084,134.0,523.0,3252.0,3775.0,27.962962962962962
Karnataka,Bangalore,560085,95.0,889.0,3013.0,3902.0,40.645833333333336
Karnataka,Bangalore,560086,51.0,330.0,2358.0,2688.0,51.69230769230769
Karnataka,Bangalore,560087,49.0,357.0,809.0,1166.0,23.32
Karnataka,Bangalore,560088,16.0,115.0,116.0,231.0,13.588235294117647
Karnataka,Bangalore,560089,30.0,191.0,346.0,537.0,17.322580645161292
Karnataka,Bangalore,560090,43.0,354.0,1368.0,1722.0,39.13636363636363
Karnataka,Bangalore,560091,156.0,1422.0,5344.0,6766.0,43.095541401273884
Karnataka,Bangalore,560092,28.0,266.0,1175.0,1441.0,49.689655172413794
Karnataka,Bangalore,560093,32.0,229.0,838.0,1067.0,32.333333333333336
Karnataka,Bangalore,560094,54.0,428.0,1813.0,2241.0,40.74545454545454
Karnataka,Bangalore,560095,14.0,84.0,459.0,543.0,36.2
Karnataka,Bangalore,560096,69.0,581.0,2386.0,2967.0,42.385714285714286
Karnataka,Bangalore,560097,89.0,799.0,2517.0,3316.0,36.84444444444444
Karnataka,Bangalore,560098,52.0,246.0,1078.0,1324.0,24.9811320754717
Karnataka,Bangalore,560099,81.0,811.0,1511.0,2322.0,28.317073170731707
Karnataka,Bangalore,560100,79.0,502.0,1994.0,2496.0,31.2
Karnataka,Bangalore,560102,21.0,224.0,1237.0,1461.0,66.4090909090909
Karnataka,Bangalore,560103,24.0,165.0,805.0,970.0,38.8
Karnataka,Bangalore,560104,9.0,40.0,157.0,197.0,19.7
Karnataka,Bangalore,560105,71.0,456.0,1202.0,1658.0,23.02777777777778
Karnataka,Bangalore,561203,14.0,88.0,51.0,139.0,9.266666666666667
Karnataka,Bangalore,562106,110.0,827.0,3191.0,4018.0,36.1981981981982
Karnataka,Bangalore,562107,87.0,630.0,1557.0,2187.0,24.852272727272727
Karnataka,Bangalore,562110,6.0,47.0,21.0,68.0,9.714285714285714
Karnataka,Bangalore,562111,3.0,4.0,3.0,7.0,1.75
Karnataka,Bangalore,562120,6.0,22.0,40.0,62.0,8.857142857142858
Karnataka,Bangalore,562123,66.0,533.0,1548.0,2081.0,31.059701492537314
Karnataka,Bangalore,562125,56.0,359.0,1180.0,1539.0,27.0
Karnataka,Bangalore,562129,2.0,29.0,16.0,45.0,15.0
Karnataka,Bangalore,562130,30.0,335.0,1500.0,1835.0,59.193548387096776
Karnataka,Bangalore,562149,50.0,241.0,1001.0,1242.0,24.352941176470587
Karnataka,Bangalore,562157,41.0,317.0,805.0,1122.0,26.714285714285715
Karnataka,Bangalore Rural,560049,102.0,417.0,509.0,926.0,8.990291262135923
Karnataka,Bangalore Rural,560067,254.0,1665.0,2101.0,3766.0,14.768627450980393
Karnataka,Bangalore Rural,560087,64.0,371.0,455.0,826.0,12.707692307692307
Karnataka,Bangalore Rural,561203,446.0,15990.0,7358.0,23348.0,52.23266219239374
Karnataka,Bangalore Rural,561204,109.0,1559.0,1915.0,3474.0,31.581818181818182
Karnataka,Bangalore Rural,561205,54.0,973.0,953.0,1926.0,35.018181818181816
Karnataka,Bangalore Rural,562102,1.0,3.0,2.0,5.0,2.5
Karnataka,Bangalore Rural,562108,1.0,0.0,0.0,0.0,0.0
Karnataka,Bangalore Rural,562110,244.0,6788.0,4759.0,11547.0,47.13061224489796
Karnataka,Bangalore Rural,562111,135.0,1348.0,1701.0,3049.0,22.419117647058822
Karnataka,Bangalore Rural,562114,491.0,8682.0,5930.0,14612.0,29.69918699186992
Karnataka,Bangalore Rural,562117,1.0,6.0,8.0,14.0,7.0
Karnataka,Bangalore Rural,562120,1.0,2.0,0.0,2.0,1.0
Karnataka,Bangalore Rural,562121,1.0,1.0,0.0,1.0,0.5
Karnataka,Bangalore Rural,562122,120.0,1799.0,2401.0,4200.0,34.710743801652896
Karnataka,Bangalore Rural,562123,246.0,4390.0,4144.0,8534.0,34.550607287449395
Karnataka,Bangalore Rural,562126,1.0,1.0,2.0,3.0,1.5
Karnataka,Bangalore Rural,562127,2.0,21.0,13.0,34.0,11.333333333333334
Karnataka,Bangalore Rural,562129,121.0,1204.0,2018.0,3222.0,26.40983606557377
Karnataka,Bangalore Rural,562130,6.0,72.0,41.0,113.0,16.142857142857142
Karnataka,Bangalore Rural,562132,69.0,1020.0,827.0,1847.0,26.385714285714286
Karnataka,Bangalore Rural,562135,159.0,1737.0,2824.0,4561.0,28.50625
Karnataka,Bangalore Rural,562149,7.0,65.0,10.0,75.0,9.375
Karnataka,Bangalore Rural,562157,3.0,27.0,13.0,40.0,10.0
Karnataka,Bangalore Rural,562162,4.0,47.0,21.0,68.0,13.6
Karnataka,Bangalore Rural,563160,2.0,18.0,11.0,29.0,9.666666666666666
Karnataka,Belagavi,590001,145.0,1364.0,1812.0,3176.0,21.753424657534246
Karnataka,Belagavi,590003,90.0,949.0,949.0,1898.0,20.857142857142858
Karnataka,Belagavi,590005,77.0,849.0,944.0,1793.0,22.987179487179485
Karnataka,Belagavi,590006,87.0,1053.0,1085.0,2138.0,24.295454545454547
Karnataka,Belagavi,590008,22.0,223.0,452.0,675.0,29.347826086956523
Karnataka,Belagavi,590009,6.0,77.0,45.0,122.0,17.428571428571427
Karnataka,Belagavi,590010,123.0,774.0,1525.0,2299.0,18.54032258064516
Karnataka,Belagavi,590011,8.0,47.0,37.0,84.0,9.333333333333334
Karnataka,Belagavi,590014,132.0,1051.0,1240.0,2291.0,17.225563909774436
Karnataka,Belagavi,590016,306.0,4446.0,2872.0,7318.0,23.8371335504886
Karnataka,Belagavi,590018,5.0,25.0,14.0,39.0,6.5
Karnataka,Belagavi,590019,9.0,166.0,50.0,216.0,21.6
Karnataka,Belagavi,591101,96.0,573.0,779.0,1352.0,13.938144329896907
Karnataka,Belagavi,591102,153.0,1479.0,1488.0,2967.0,19.266233766233768
Karnataka,Belagavi,591103,72.0,452.0,617.0,1069.0,14.643835616438356
Karnataka,Belagavi,591104,94.0,709.0,1135.0,1844.0,19.410526315789475
Karnataka,Belagavi,591106,84.0,391.0,665.0,1056.0,12.423529411764706
Karnataka,Belagavi,591107,57.0,199.0,383.0,582.0,10.03448275862069
Karnataka,Belagavi,591108,97.0,1057.0,1026.0,2083.0,21.255102040816325
Karnataka,Belagavi,591109,70.0,562.0,592.0,1154.0,16.253521126760564
Karnataka,Belagavi,591110,36.0,250.0,448.0,698.0,18.864864864864863
Karnataka,Belagavi,591111,49.0,205.0,303.0,508.0,10.16
Karnataka,Belagavi,591112,60.0,350.0,530.0,880.0,14.426229508196721
Karnataka,Belagavi,591113,31.0,180.0,202.0,382.0,11.9375
Karnataka,Belagavi,591114,128.0,737.0,1076.0,1813.0,14.054263565891473
Karnataka,Belagavi,591115,84.0,892.0,863.0,1755.0,20.647058823529413
Karnataka,Belagavi,591116,9.0,14.0,23.0,37.0,3.7
Karnataka,Belagavi,591117,164.0,682.0,1321.0,2003.0,12.139393939393939
Karnataka,Belagavi,591118,34.0,229.0,113.0,342.0,9.771428571428572
Karnataka,Belagavi,591119,82.0,484.0,539.0,1023.0,12.325301204819278
Karnataka,Belagavi,591120,62.0,444.0,680.0,1124.0,17.841269841269842
Karnataka,Belagavi,591121,38.0,236.0,510.0,746.0,19.128205128205128
Karnataka,Belagavi,591122,96.0,626.0,909.0,1535.0,15.824742268041238
Karnataka,Belagavi,591123,173.0,845.0,2069.0,2914.0,16.74712643678161
Karnataka,Belagavi,591124,63.0,314.0,596.0,910.0,14.21875
Karnataka,Belagavi,591125,49.0,373.0,386.0,759.0,15.18
Karnataka,Belagavi,591126,190.0,878.0,1827.0,2705.0,14.162303664921465
Karnataka,Belagavi,591127,52.0,288.0,364.0,652.0,12.30188679245283
Karnataka,Belagavi,591128,42.0,173.0,502.0,675.0,15.69767441860465
Karnataka,Belagavi,591129,86.0,562.0,955.0,1517.0,17.436781609195403
Karnataka,Belagavi,591130,89.0,376.0,815.0,1191.0,13.233333333333333
Karnataka,Belagavi,591131,39.0,133.0,230.0,363.0,9.075
Karnataka,Belagavi,591136,28.0,263.0,292.0,555.0,19.137931034482758
Karnataka,Belagavi,591143,53.0,211.0,503.0,714.0,13.222222222222221
Karnataka,Belagavi,591147,11.0,204.0,103.0,307.0,25.583333333333332
Karnataka,Belagavi,591153,27.0,151.0,231.0,382.0,13.642857142857142
Karnataka,Belagavi,591156,48.0,287.0,296.0,583.0,11.89795918367347
Karnataka,Belagavi,591173,4.0,3.0,14.0,17.0,3.4
Karnataka,Belagavi,591201,77.0,851.0,703.0,1554.0,19.923076923076923
Karnataka,Belagavi,591211,26.0,189.0,153.0,342.0,12.666666666666666
Karnataka,Belagavi,591212,56.0,262.0,725.0,987.0,17.31578947368421
Karnataka,Belagavi,591213,118.0,629.0,1256.0,1885.0,15.840336134453782
Karnataka,Belagavi,591214,48.0,277.0,301.0,578.0,11.795918367346939
Karnataka,Belagavi,591215,65.0,473.0,516.0,989.0,14.984848484848484
Karnataka,Belagavi,591216,47.0,327.0,547.0,874.0,18.208333333333332
Karnataka,Belagavi,591217,57.0,347.0,792.0,1139.0,19.637931034482758
Karnataka,Belagavi,591219,17.0,43.0,35.0,78.0,4.333333333333333
Karnataka,Belagavi,591220,107.0,614.0,1574.0,2188.0,20.25925925925926
Karnataka,Belagavi,591221,75.0,311.0,573.0,884.0,11.631578947368421
Karnataka,Belagavi,591222,176.0,746.0,1354.0,2100.0,11.864406779661017
Karnataka,Belagavi,591223,22.0,69.0,160.0,229.0,9.956521739130435
Karnataka,Belagavi,591224,120.0,1061.0,1301.0,2362.0,19.520661157024794
Karnataka,Belagavi,591225,48.0,552.0,481.0,1033.0,21.081632653061224
Karnataka,Belagavi,591226,81.0,560.0,758.0,1318.0,16.073170731707318
Karnataka,Belagavi,591227,75.0,686.0,781.0,1467.0,19.30263157894737
Karnataka,Belagavi,591228,24.0,85.0,89.0,174.0,6.96
Karnataka,Belagavi,591229,33.0,253.0,220.0,473.0,13.911764705882353
Karnataka,Belagavi,591230,67.0,391.0,558.0,949.0,13.955882352941176
Karnataka,Belagavi,591231,42.0,167.0,485.0,652.0,15.162790697674419
Karnataka,Belagavi,591232,84.0,563.0,852.0,1415.0,16.647058823529413
Karnataka,Belagavi,591233,94.0,554.0,981.0,1535.0,16.157894736842106
Karnataka,Belagavi,591234,19.0,284.0,322.0,606.0,30.3
Karnataka,Belagavi,591235,100.0,733.0,1808.0,2541.0,25.15841584158416
Karnataka,Belagavi,591236,35.0,202.0,268.0,470.0,13.055555555555555
Karnataka,Belagavi,591237,144.0,462.0,1147.0,1609.0,11.096551724137932
Karnataka,Belagavi,591238,45.0,166.0,312.0,478.0,10.391304347826088
Karnataka,Belagavi,591239,41.0,163.0,319.0,482.0,11.476190476190476
Karnataka,Belagavi,591240,64.0,354.0,761.0,1115.0,17.153846153846153
Karnataka,Belagavi,591241,70.0,384.0,568.0,952.0,13.408450704225352
Karnataka,Belagavi,591242,30.0,275.0,364.0,639.0,20.612903225806452
Karnataka,Belagavi,591243,101.0,528.0,601.0,1129.0,11.068627450980392
Karnataka,Belagavi,591244,32.0,254.0,533.0,787.0,23.848484848484848
Karnataka,Belagavi,591246,17.0,60.0,119.0,179.0,9.944444444444445
Karnataka,Belagavi,591247,59.0,276.0,378.0,654.0,10.9
Karnataka,Belagavi,591248,83.0,543.0,994.0,1537.0,18.297619047619047
Karnataka,Belagavi,591254,40.0,151.0,375.0,526.0,12.829268292682928
Karnataka,Belagavi,591263,33.0,161.0,370.0,531.0,15.617647058823529
Karnataka,Belagavi,591265,30.0,294.0,507.0,801.0,25.838709677419356
Karnataka,Belagavi,591287,19.0,146.0,205.0,351.0,17.55
Karnataka,Belagavi,591301,47.0,311.0,377.0,688.0,14.333333333333334
Karnataka,Belagavi,591302,174.0,1489.0,1332.0,2821.0,16.12
Karnataka,Belagavi,591303,67.0,358.0,817.0,1175.0,17.279411764705884
Karnataka,Belagavi,591304,222.0,1052.0,3359.0,4411.0,19.780269058295964
Karnataka,Belagavi,591305,43.0,300.0,457.0,757.0,17.204545454545453
Karnataka,Belagavi,591306,76.0,422.0,678.0,1100.0,14.285714285714286
Karnataka,Belagavi,591307,227.0,2233.0,2375.0,4608.0,20.210526315789473
Karnataka,Belagavi,591308,17.0,61.0,70.0,131.0,7.277777777777778
Karnataka,Belagavi,591309,89.0,601.0,1019.0,1620.0,18.0
Karnataka,Belagavi,591310,61.0,394.0,692.0,1086.0,17.516129032258064
Karnataka,Belagavi,591311,107.0,627.0,1931.0,2558.0,23.685185185185187
Karnataka,Belagavi,591312,95.0,700.0,1256.0,1956.0,20.375
Karnataka,Belagavi,591313,70.0,456.0,766.0,1222.0,17.211267605633804
Karnataka,Belagavi,591315,11.0,69.0,201.0,270.0,22.5
Karnataka,Belagavi,591316,40.0,291.0,746.0,1037.0,25.29268292682927
Karnataka,Belagavi,591317,266.0,2159.0,2303.0,4462.0,16.711610486891384
Karnataka,Belagavi,591340,27.0,195.0,101.0,296.0,10.571428571428571
Karnataka,Belagavi,591344,85.0,285.0,954.0,1239.0,14.406976744186046
Karnataka,Belgaum,590001,110.0,1181.0,2444.0,3625.0,32.65765765765766
Karnataka,Belgaum,590003,66.0,492.0,1373.0,1865.0,27.83582089552239
Karnataka,Belgaum,590005,70.0,843.0,1375.0,2218.0,31.239436619718308
Karnataka,Belgaum,590006,52.0,685.0,1142.0,1827.0,34.471698113207545
Karnataka,Belgaum,590008,25.0,265.0,512.0,777.0,29.884615384615383
Karnataka,Belgaum,590009,2.0,21.0,20.0,41.0,13.666666666666666
Karnataka,Belgaum,590010,60.0,635.0,1476.0,2111.0,34.60655737704918
Karnataka,Belgaum,590011,4.0,43.0,43.0,86.0,17.2
Karnataka,Belgaum,590014,91.0,912.0,1539.0,2451.0,26.641304347826086
Karnataka,Belgaum,590016,166.0,1424.0,2857.0,4281.0,25.634730538922156
Karnataka,Belgaum,590018,1.0,22.0,12.0,34.0,17.0
Karnataka,Belgaum,591101,74.0,412.0,864.0,1276.0,17.013333333333332
Karnataka,Belgaum,591102,161.0,1431.0,2303.0,3734.0,23.049382716049383
Karnataka,Belgaum,591103,56.0,499.0,695.0,1194.0,20.94736842105263
Karnataka,Belgaum,591104,62.0,744.0,1349.0,2093.0,33.22222222222222
Karnataka,Belgaum,591106,38.0,413.0,837.0,1250.0,32.05128205128205
Karnataka,Belgaum,591107,30.0,253.0,553.0,806.0,26.0
Karnataka,Belgaum,591108,52.0,512.0,1109.0,1621.0,30.58490566037736
Karnataka,Belgaum,591109,48.0,1154.0,792.0,1946.0,39.714285714285715
Karnataka,Belgaum,591110,54.0,245.0,792.0,1037.0,18.854545454545455
Karnataka,Belgaum,591111,32.0,311.0,559.0,870.0,26.363636363636363
Karnataka,Belgaum,591112,32.0,507.0,628.0,1135.0,34.39393939393939
Karnataka,Belgaum,591113,17.0,218.0,431.0,649.0,36.05555555555556
Karnataka,Belgaum,591114,85.0,1155.0,1704.0,2859.0,33.24418604651163
Karnataka,Belgaum,591115,76.0,1209.0,1450.0,2659.0,34.532467532467535
Karnataka,Belgaum,591116,5.0,19.0,35.0,54.0,9.0
Karnataka,Belgaum,591117,134.0,1279.0,1863.0,3142.0,23.274074074074075
Karnataka,Belgaum,591118,18.0,285.0,336.0,621.0,32.68421052631579
Karnataka,Belgaum,591119,72.0,561.0,883.0,1444.0,19.78082191780822
Karnataka,Belgaum,591120,46.0,660.0,1037.0,1697.0,36.1063829787234
Karnataka,Belgaum,591121,33.0,632.0,1000.0,1632.0,48.0
Karnataka,Belgaum,591122,74.0,1106.0,1198.0,2304.0,30.72
Karnataka,Belgaum,591123,145.0,1058.0,2950.0,4008.0,27.45205479452055
Karnataka,Belgaum,591124,43.0,484.0,758.0,1242.0,28.227272727272727
Karnataka,Belgaum,591125,40.0,571.0,509.0,1080.0,26.341463414634145
Karnataka,Belgaum,591126,193.0,1606.0,2662.0,4268.0,22.0
Karnataka,Belgaum,591127,62.0,336.0,1043.0,1379.0,21.88888888888889
Karnataka,Belgaum,591128,25.0,293.0,676.0,969.0,37.26923076923077
Karnataka,Belgaum,591129,111.0,868.0,1645.0,2513.0,22.4375
Karnataka,Belgaum,591130,75.0,652.0,1003.0,1655.0,21.776315789473685
Karnataka,Belgaum,591131,42.0,527.0,514.0,1041.0,24.209302325581394
Karnataka,Belgaum,591136,23.0,315.0,428.0,743.0,30.958333333333332
Karnataka,Belgaum,591143,35.0,381.0,661.0,1042.0,28.944444444444443
Karnataka,Belgaum,591147,31.0,279.0,249.0,528.0,16.5
Karnataka,Belgaum,591153,32.0,387.0,445.0,832.0,25.21212121212121
Karnataka,Belgaum,591156,21.0,299.0,494.0,793.0,36.04545454545455
Karnataka,Belgaum,591173,1.0,14.0,34.0,48.0,24.0
Karnataka,Belgaum,591201,41.0,401.0,933.0,1334.0,31.761904761904763
Karnataka,Belgaum,591211,22.0,304.0,443.0,747.0,32.47826086956522
Karnataka,Belgaum,591212,47.0,654.0,1190.0,1844.0,38.416666666666664
Karnataka,Belgaum,591213,111.0,1181.0,1725.0,2906.0,25.946428571428573
Karnataka,Belgaum,591214,50.0,354.0,491.0,845.0,16.568627450980394
Karnataka,Belgaum,591215,40.0,447.0,523.0,970.0,23.658536585365855
Karnataka,Belgaum,591216,23.0,234.0,411.0,645.0,26.875
Karnataka,Belgaum,591217,59.0,472.0,944.0,1416.0,23.6
Karnataka,Belgaum,591219,9.0,56.0,186.0,242.0,24.2
Karnataka,Belgaum,591220,219.0,1019.0,2227.0,3246.0,14.754545454545454
Karnataka,Belgaum,591221,46.0,666.0,1027.0,1693.0,36.02127659574468
Karnataka,Belgaum,591222,189.0,1002.0,2307.0,3309.0,17.41578947368421
Karnataka,Belgaum,591223,14.0,201.0,275.0,476.0,31.733333333333334
Karnataka,Belgaum,591224,107.0,1273.0,1521.0,2794.0,25.87037037037037
Karnataka,Belgaum,591225,23.0,399.0,757.0,1156.0,48.166666666666664
Karnataka,Belgaum,591226,69.0,946.0,1256.0,2202.0,31.457142857142856
Karnataka,Belgaum,591227,77.0,1133.0,1084.0,2217.0,28.423076923076923
Karnataka,Belgaum,591228,31.0,166.0,345.0,511.0,15.96875
Karnataka,Belgaum,591229,24.0,204.0,220.0,424.0,16.96
Karnataka,Belgaum,591230,68.0,236.0,735.0,971.0,14.072463768115941
Karnataka,Belgaum,591231,36.0,402.0,652.0,1054.0,28.486486486486488
Karnataka,Belgaum,591232,73.0,632.0,1043.0,1675.0,22.635135135135137
Karnataka,Belgaum,591233,125.0,904.0,1153.0,2057.0,16.325396825396826
Karnataka,Belgaum,591234,24.0,313.0,662.0,975.0,39.0
Karnataka,Belgaum,591235,174.0,784.0,2463.0,3247.0,18.554285714285715
Karnataka,Belgaum,591236,22.0,361.0,516.0,877.0,38.130434782608695
Karnataka,Belgaum,591237,96.0,978.0,2333.0,3311.0,34.134020618556704
Karnataka,Belgaum,591238,42.0,228.0,504.0,732.0,17.023255813953487
Karnataka,Belgaum,591239,20.0,367.0,402.0,769.0,36.61904761904762
Karnataka,Belgaum,591240,88.0,706.0,776.0,1482.0,16.651685393258425
Karnataka,Belgaum,591241,24.0,213.0,799.0,1012.0,40.48
Karnataka,Belgaum,591242,37.0,828.0,542.0,1370.0,36.05263157894737
Karnataka,Belgaum,591243,80.0,615.0,960.0,1575.0,19.444444444444443
Karnataka,Belgaum,591244,38.0,339.0,603.0,942.0,24.153846153846153
Karnataka,Belgaum,591246,9.0,212.0,334.0,546.0,54.6
Karnataka,Belgaum,591247,35.0,206.0,511.0,717.0,19.916666666666668
Karnataka,Belgaum,591248,111.0,836.0,1315.0,2151.0,19.205357142857142
Karnataka,Belgaum,591254,28.0,243.0,823.0,1066.0,36.758620689655174
Karnataka,Belgaum,591263,23.0,276.0,468.0,744.0,31.0
Karnataka,Belgaum,591265,91.0,823.0,1099.0,1922.0,20.891304347826086
Karnataka,Belgaum,591287,16.0,202.0,357.0,559.0,32.88235294117647
Karnataka,Belgaum,591301,16.0,459.0,592.0,1051.0,61.8235294117647
Karnataka,Belgaum,591302,131.0,1749.0,2577.0,4326.0,32.77272727272727
Karnataka,Belgaum,591303,95.0,425.0,1233.0,1658.0,17.270833333333332
Karnataka,Belgaum,591304,238.0,1392.0,4298.0,5690.0,23.807531380753137
Karnataka,Belgaum,591305,57.0,382.0,813.0,1195.0,20.603448275862068
Karnataka,Belgaum,591306,68.0,353.0,845.0,1198.0,17.36231884057971
Karnataka,Belgaum,591307,189.0,1571.0,2444.0,4015.0,21.13157894736842
Karnataka,Belgaum,591308,12.0,123.0,127.0,250.0,19.23076923076923
Karnataka,Belgaum,591309,80.0,1110.0,1909.0,3019.0,37.27160493827161
Karnataka,Belgaum,591310,68.0,490.0,1091.0,1581.0,22.91304347826087
Karnataka,Belgaum,591311,76.0,612.0,2794.0,3406.0,44.23376623376623
Karnataka,Belgaum,591312,135.0,642.0,1578.0,2220.0,16.323529411764707
Karnataka,Belgaum,591313,41.0,815.0,1162.0,1977.0,47.07142857142857
Karnataka,Belgaum,591315,21.0,172.0,289.0,461.0,20.954545454545453
Karnataka,Belgaum,591316,37.0,507.0,1007.0,1514.0,39.8421052631579
Karnataka,Belgaum,591317,223.0,1250.0,2499.0,3749.0,16.736607142857142
Karnataka,Belgaum,591340,10.0,267.0,370.0,637.0,57.90909090909091
Karnataka,Belgaum,591344,60.0,682.0,1242.0,1924.0,31.540983606557376
Karnataka,Bellary,583101,408.0,2179.0,7452.0,9631.0,23.547677261613693
Karnataka,Bellary,583102,248.0,1328.0,3772.0,5100.0,20.481927710843372
Karnataka,Bellary,583103,146.0,700.0,2451.0,3151.0,21.435374149659864
Karnataka,Bellary,583104,38.0,252.0,1071.0,1323.0,33.92307692307692
Karnataka,Bellary,583111,74.0,182.0,792.0,974.0,12.986666666666666
Karnataka,Bellary,583112,42.0,187.0,391.0,578.0,13.44186046511628
Karnataka,Bellary,583113,111.0,577.0,1262.0,1839.0,16.419642857142858
Karnataka,Bellary,583114,67.0,215.0,957.0,1172.0,17.235294117647058
Karnataka,Bellary,583115,136.0,703.0,2137.0,2840.0,20.72992700729927
Karnataka,Bellary,583116,126.0,571.0,1707.0,2278.0,17.937007874015748
Karnataka,Bellary,583117,143.0,515.0,2046.0,2561.0,17.78472222222222
Karnataka,Bellary,583118,12.0,58.0,173.0,231.0,17.76923076923077
Karnataka,Bellary,583119,103.0,856.0,1989.0,2845.0,27.35576923076923
Karnataka,Bellary,583120,222.0,861.0,2726.0,3587.0,16.08520179372197
Karnataka,Bellary,583121,154.0,1142.0,2932.0,4074.0,26.283870967741937
Karnataka,Bellary,583122,132.0,430.0,1639.0,2069.0,15.556390977443609
Karnataka,Bellary,583123,116.0,876.0,1310.0,2186.0,18.683760683760685
Karnataka,Bellary,583124,135.0,325.0,589.0,914.0,6.720588235294118
Karnataka,Bellary,583126,31.0,443.0,1267.0,1710.0,53.4375
Karnataka,Bellary,583128,160.0,719.0,881.0,1600.0,9.937888198757763
Karnataka,Bellary,583129,144.0,771.0,1334.0,2105.0,14.517241379310345
Karnataka,Bellary,583130,25.0,449.0,891.0,1340.0,51.53846153846154
Karnataka,Bellary,583132,101.0,792.0,1346.0,2138.0,20.96078431372549
Karnataka,Bellary,583134,50.0,912.0,1767.0,2679.0,52.529411764705884
Karnataka,Bellary,583135,49.0,1042.0,2129.0,3171.0,63.42
Karnataka,Bellary,583136,24.0,274.0,555.0,829.0,33.16
Karnataka,Bellary,583152,2.0,0.0,1.0,1.0,0.3333333333333333
Karnataka,Bellary,583201,224.0,2094.0,5705.0,7799.0,34.66222222222222
Karnataka,Bellary,583203,3.0,23.0,27.0,50.0,12.5
Karnataka,Bellary,583211,18.0,138.0,455.0,593.0,31.210526315789473
Karnataka,Bellary,583212,193.0,1489.0,2473.0,3962.0,20.422680412371133
Karnataka,Bellary,583214,49.0,565.0,1083.0,1648.0,32.96
Karnataka,Bellary,583215,8.0,9.0,38.0,47.0,5.222222222222222
Karnataka,Bellary,583216,102.0,758.0,1466.0,2224.0,21.59223300970874
Karnataka,Bellary,583217,52.0,423.0,741.0,1164.0,21.962264150943398
Karnataka,Bellary,583218,24.0,310.0,1169.0,1479.0,59.16
Karnataka,Bellary,583219,110.0,1276.0,2385.0,3661.0,32.98198198198198
Karnataka,Bellary,583220,75.0,582.0,908.0,1490.0,19.605263157894736
Karnataka,Bellary,583221,54.0,346.0,887.0,1233.0,22.418181818181818
Karnataka,Bellary,583222,122.0,801.0,2405.0,3206.0,26.065040650406505
Karnataka,Bellary,583223,59.0,278.0,1057.0,1335.0,22.25
Karnataka,Bellary,583224,105.0,616.0,893.0,1509.0,14.235849056603774
Karnataka,Bellary,583225,5.0,109.0,362.0,471.0,78.5
Karnataka,Bellary,583239,16.0,175.0,580.0,755.0,44.411764705882355
Karnataka,Bellary,583275,1.0,16.0,36.0,52.0,26.0
Karnataka,Bellary,583276,1.0,8.0,5.0,13.0,6.5
Karnataka,Bengaluru,560001,179.0,910.0,1452.0,2362.0,13.122222222222222
Karnataka,Bengaluru,560002,57.0,449.0,1225.0,1674.0,28.862068965517242
Karnataka,Bengaluru,560003,75.0,1282.0,2224.0,3506.0,46.13157894736842
Karnataka,Bengaluru,560004,82.0,971.0,1693.0,2664.0,32.096385542168676
Karnataka,Bengaluru,560005,217.0,1197.0,1990.0,3187.0,14.619266055045872
Karnataka,Bengaluru,560006,34.0,409.0,571.0,980.0,28.0
Karnataka,Bengaluru,560007,1.0,14.0,17.0,31.0,15.5
